nama_kabupaten_kota,tahun,jumlah_produksi_sampah
KABUPATEN BOGOR,2020,2977.0
KABUPATEN SUKABUMI,2020,1006.0
KABUPATEN CIANJUR,2020,1117.0
KABUPATEN BANDUNG,2020,1355.0
KABUPATEN GARUT,2020,1151.0
KABUPATEN TASIKMALAYA,2020,754.0
KABUPATEN CIAMIS,2020,564.0
KABUPATEN KUNINGAN,2020,540.0
KABUPATEN CIREBON,2020,1096.0
KABUPATEN MAJALENGKA,2020,518.0
KABUPATEN SUMEDANG,2020,438.0
KABUPATEN INDRAMAYU,2020,1077.0
KABUPATEN SUBANG,2020,1023.0
KABUPATEN PURWAKARTA,2020,388.0
KABUPATEN KARAWANG,2020,942.0
KABUPATEN BEKASI,2020,2258.0
KABUPATEN BANDUNG BARAT,2020,1135.0
KABUPATEN PANGANDARAN,2020,252.0
KOTA BOGOR,2020,567.0
KOTA SUKABUMI,2020,181.0
KOTA BANDUNG,2020,1630.0
KOTA CIREBON,2020,192.0
KOTA BEKASI,2020,1923.0
KOTA DEPOK,2020,1516.0
KOTA CIMAHI,2020,369.0
KOTA TASIKMALAYA,2020,285.0
KOTA BANJAR,2020,79.0
